run_id,timestamp,elapsed_s,n_routes,adequation_pct_ok,dun,d0,d1,d2,d3p,ATT,p_use_new_od,p_route_choice,p_freq_opt,p_route_rules,p_alpha_pass,p_alpha_adeq,p_alpha_oper,html,json
run_20260504_011224_959b49ac,2026-05-04T01:19:48,431.7,7,77.02702702702703,42.69674431602669,18.40765610557874,21.30412400353098,11.755765469937437,5.835710104926061,19.166596660338303,True,True,True,True,1.0,0.3,0.01,run_20260504_011224_959b49ac.html,run_20260504_011224_959b49ac.json
run_20260504_011948_2438c839,2026-05-04T01:29:59,595.9,12,35.13513513513514,32.47853064212954,12.276739473024007,24.05261842007296,20.14390200199746,11.048209462775926,15.954898695212938,True,True,True,True,2.0,0.05,0.05,run_20260504_011948_2438c839.html,run_20260504_011948_2438c839.json
run_20260504_012959_90085b31,2026-05-04T01:35:18,311.4,12,93.24324324324324,13.048611152184716,26.39717974379132,34.82681223064398,20.312106980259024,5.4152898931209466,16.09590976825034,True,True,True,True,2.0,0.3,0.01,run_20260504_012959_90085b31.html,run_20260504_012959_90085b31.json
run_20260504_013518_a89f4c22,2026-05-04T01:49:22,826.4,12,28.37837837837838,37.35457335634505,20.660355096490967,21.719802666314283,16.048031229068222,4.217237651781361,13.835507174428678,True,True,True,True,5.0,0.05,0.05,run_20260504_013518_a89f4c22.html,run_20260504_013518_a89f4c22.json
run_20260504_015419_6e531403,2026-05-04T02:01:55,430.3,12,83.78378378378379,13.844854792087025,23.814166262011955,25.51392480237836,22.553395022365823,14.273659121156829,17.784970859190977,True,True,True,True,5.0,0.2,0.005,run_20260504_015419_6e531403.html,run_20260504_015419_6e531403.json
run_20260504_020155_850d48a8,2026-05-04T02:14:19,721.7,12,87.83783783783784,11.883620610009311,29.81452429767953,37.32610985075304,15.111946922317735,5.863798319240384,16.072325519235687,True,True,True,True,5.0,1.0,0.005,run_20260504_020155_850d48a8.html,run_20260504_020155_850d48a8.json
run_20260504_021419_3247a38a,2026-05-04T02:23:59,571.0,12,87.83783783783784,10.83744361943383,27.80354709328262,29.241745128690155,21.119555079010343,10.997709079583066,16.801965503775037,True,True,True,True,2.0,0.2,0.01,run_20260504_021419_3247a38a.html,run_20260504_021419_3247a38a.json
run_20260504_022359_ba323038,2026-05-04T03:02:17,2282.7,12,87.83783783783784,11.488146387148177,27.778138558461528,35.24133203652381,18.433597161593223,7.058785856273227,16.298398521540673,True,True,True,True,2.0,0.7,0.01,run_20260504_022359_ba323038.html,run_20260504_022359_ba323038.json
run_20260504_030217_ed3c0492,2026-05-04T03:15:47,594.5,12,44.5945945945946,14.49157327044423,17.108638288890134,26.975513943695823,26.524041549618914,14.900232947350906,17.12322039053141,True,True,True,True,2.0,0.1,0.05,run_20260504_030217_ed3c0492.html,run_20260504_030217_ed3c0492.json
run_20260504_031547_79b9373c,2026-05-04T03:28:14,590.8,7,74.32432432432432,25.097156864368912,15.590053238708279,24.919660094501843,25.482777707473282,8.910352094947632,23.76746335266674,True,True,True,True,0.5,0.2,0.005,run_20260504_031547_79b9373c.html,run_20260504_031547_79b9373c.json
run_20260504_032814_4a90ce9c,2026-05-04T03:34:57,265.9,9,72.97297297297297,13.34064259730903,16.814153164348212,26.00500920361617,16.900805859290728,26.939389175435853,23.99816621391543,True,True,True,True,1.0,0.2,0.005,run_20260504_032814_4a90ce9c.html,run_20260504_032814_4a90ce9c.json
run_20260504_033457_ed3ed63a,2026-05-04T03:48:03,585.4,12,67.56756756756756,28.969993884380525,18.815818619911116,26.27351285249858,18.770032867573583,7.170641775636137,15.005644621469754,True,True,True,True,5.0,0.3,0.05,run_20260504_033457_ed3ed63a.html,run_20260504_033457_ed3ed63a.json
run_20260504_034803_56318251,2026-05-04T04:01:22,620.4,7,55.4054054054054,46.661137719360404,16.615162514103428,22.434126634065915,11.730713815874855,2.5588593165952758,15.70066780714299,True,True,True,True,0.5,0.05,0.01,run_20260504_034803_56318251.html,run_20260504_034803_56318251.json
run_20260504_040122_0af43de8,2026-05-04T04:12:03,631.1,12,50.0,38.13918256280605,16.962768920845775,19.814071214132774,17.37703968244686,7.7069376197684445,14.940637020878746,True,True,True,True,5.0,0.1,0.05,run_20260504_040122_0af43de8.html,run_20260504_040122_0af43de8.json
run_20260504_041203_5ebeb9ac,2026-05-04T04:23:24,667.8,12,85.13513513513513,15.485848120193712,23.396274682739836,35.48427571700014,19.08081460093624,6.552786879130074,17.02529559606518,True,True,True,True,5.0,0.2,0.01,run_20260504_041203_5ebeb9ac.html,run_20260504_041203_5ebeb9ac.json
run_20260504_042324_bd3e4267,2026-05-04T04:35:22,702.4,12,64.86486486486487,15.01994706164684,23.114068374893588,32.406583487100605,21.95336763921848,7.506033437140498,15.936076274009912,True,True,True,True,2.0,0.05,0.01,run_20260504_042324_bd3e4267.html,run_20260504_042324_bd3e4267.json
run_20260504_043522_cca33f47,2026-05-04T04:48:41,784.5,12,82.43243243243244,12.866600036139381,25.931335929659376,39.09016519505414,18.39413973606252,3.7177591030845827,15.073982726220326,True,True,True,True,5.0,0.7,0.05,run_20260504_043522_cca33f47.html,run_20260504_043522_cca33f47.json
run_20260504_044841_71801995,2026-05-04T05:06:56,1085.8,7,74.32432432432432,23.955861101183274,20.21088822466537,26.424365507117408,23.169413852306455,6.2394713147274725,19.175745329094894,True,True,True,True,0.5,0.7,0.05,run_20260504_044841_71801995.html,run_20260504_044841_71801995.json
run_20260504_050656_f58fc179,2026-05-04T05:19:29,739.1,12,85.13513513513513,6.949831248397677,26.46738050888829,32.20954313731815,23.009472557724543,11.363772547671317,16.546251191229516,True,True,True,True,2.0,0.5,0.005,run_20260504_050656_f58fc179.html,run_20260504_050656_f58fc179.json
run_20260504_051929_d47906fe,2026-05-04T06:30:56,4270.2,12,87.83783783783784,14.703008141439375,24.809966553728056,40.878574234287136,17.291634804859626,2.316816265685779,16.2866140259816,True,True,True,True,2.0,1.0,0.005,run_20260504_051929_d47906fe.html,run_20260504_051929_d47906fe.json
run_20260504_063056_b24e836e,2026-05-04T06:40:46,579.4,7,32.432432432432435,78.93887424903343,4.533482716050759,8.011714862154696,6.293202121082765,2.2227260516783396,18.04315356670933,True,True,True,True,0.5,0.05,0.05,run_20260504_063056_b24e836e.html,run_20260504_063056_b24e836e.json
run_20260504_064046_da005d25,2026-05-04T06:54:16,799.0,7,75.67567567567568,19.493308014551914,20.53720804116577,26.984654264959424,20.7995931099646,12.185236569358288,27.53184843998345,True,True,True,True,0.5,0.5,0.01,run_20260504_064046_da005d25.html,run_20260504_064046_da005d25.json
run_20260504_065416_65da8812,2026-05-04T07:04:53,624.6,12,68.91891891891892,31.416884738501295,21.671816303292466,24.51687528243712,16.324780595239115,6.069643080529936,14.064470523101217,True,True,True,True,5.0,0.05,0.01,run_20260504_065416_65da8812.html,run_20260504_065416_65da8812.json
run_20260504_070453_7da131bd,2026-05-04T07:18:53,639.6,12,72.97297297297297,14.88151989463962,20.977774638107714,36.71775091160336,20.970246306527304,6.452708249121976,17.505018689357257,True,True,True,True,5.0,0.5,0.05,run_20260504_070453_7da131bd.html,run_20260504_070453_7da131bd.json
